"","V1","V2","V3","V4","V5","V6","V7","V8"
"291","yes shes known these gorgeous doggos for a long time but they can smell the treats if shes wearing her dog walking coat","ok credit to olls thats enuff","thats harsh","mum went to the farm for fresh salad leaves and came home with an empty treat pocket in her coat @darcie212 @dogdaysinitaly","yummy","its just not your turn tweet but you can have this","",""
"292","thank you","thank you shane and harry","well done hudad","thanks flynn","got fresh cream","thank you so much tracey","arent you looking so cute daisy mae hope you got some toast","thanks tami"
"293","its been a super day pacer","","","","","","",""
"294","join the queue jean","beautiful","can you send them over here when they have finished your car please donna","woohoo","happy birthday darcies husis hope you are having a lovely day","all the best for the future take care and keep safe","winning","zactly"
"296","hi alvin my friend olls x","i hope you will soon be on the road to recovery princess olls x","she truly was very specialas are you evie olls x","i have a cure for that olls x","snorts olls x","im busy today sleeping upstairs dog barked amp howled all night so we are tired olls x","",""
"297","fun fact @ 5 @darcie212 @orchestradog @dogdaysinitaly @ted1inquisitive @teacupph @parsleysmum @neddlepeddle @joycewallach","thanks i have 2 myself different light gives off different colours","i know","drink not included","thank you","tonight 7pm to 9pm @seniorstaffy auction some amazing lots to bid on including these hand crafted drinks coasters you need these @nightowl400 @buddybear115 #teamzay","nothing phases you sweetie","id love some tummy tickles"
"298","fantastic day pal","thanks","","","","","",""
"300","hi alfie","","","","","","",""
"301","hi bella i do hope so loving your bow tie is that from your new collection","we will darce you too","very big hugs right back","gulps dr olls is treating you","oh goodness not again","definitely nedster","same here pal although the sun is shining a little bit through the rain stay snuggled my friend","hi tami how are you feeling today"
"302","definitely how are you today pal","im ok thank you pal stopped at the beachside cafe for sausages","","","","","",""
"304","cheers shadow","thanks","","","","","",""
"305","thanks you 2","nope exceptmaybethe rain","hi pal waves paws excitedly","hmmm mom just calls me weirdo","mine just call meweird","i thought you were on my sidec","thank you debra",""
"306","you too","have a lovely day darcie and daisy","morning","good morning darcie have some breakfast","hope today will be less challenging ned","good morning jb you always add happiness","",""
"307","is a very cool tiger been following since he was guest on @otlpf","what a wonderful way to celebrate bestie","oh bestie you are the most beautiful cheerful snow doggy ever","oh you are two pawdorable cutie pies happy to follow your adventures and be your new friend im ella faye 19 month old cavalier king charles spaniel living at the beach in california i enjoy snuggles and chewing","bestie this is so sad @daisy_pom @tashaspunsugar @dogdaysinitaly @orchestradog @darcie212 @parsleysmum @denvor18 @linda11192874 @debrabyrne7 @neddlepeddle @francier13 @haraway_holly","what bestie paisley bean how could that happen love you and granna so very muchella faye and momala","",""
"309","you are","oh dear","are the feathers from you dr","you are gorgeous","excellent point scooby","oh yes","",""
"311","aww thanks","","","","","","",""
"312","it works luna","we are sending you hugs wilbur","we pray tippy","oh yes we are so fortunate to have met you sunny you make us feel good about ourselves","oh tank yous very much miss annie","tank yous sunny oh yes good for anxiety aww tank yous sunny","we miss you sadiebug we hope you are both doing well happy 2022","this is chewby i have a new bed like yours pom twinkie"
"313","you got dat right reo great minds think alike","","","","","","",""
"314","mind your fuckin business roach","he is very funny to me","these 12 year olds putting pressureeeree in this lil basketball game omg","this hookah is nasty i have a headache and im nauseous","no she made me mad you ask her","someone bleached my 100 scrubs i havent stopped crying","",""
"316","scum","","","","","","",""
"321","maggie is living reverse groundhog day","","","","","","",""
"322","does anyone know who he is ive seen him several times","does anyone know who he is ive seen him several times","","","","","",""
